City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,pontevedra,42.431,-8.6444,15.88,95,100,1.68,ES,1682380142
185,badger,64.8,-147.5333,-3.07,49,75,5.14,US,1682380575
186,timbuktu,16.7735,-3.0074,28.38,10,0,4.69,ML,1682380576
187,kiffa,16.6166,-11.4045,32.11,14,0,3.24,MR,1682380576
188,sosua,19.7667,-70.5167,27.99,78,20,0.0,DO,1682380577
189,elverum,60.8819,11.5623,0.26,98,100,3.68,NO,1682380395
190,haiku-pauwela,20.9219,-156.3051,28.01,51,20,6.17,US,1682380578
191,lamu,-2.2717,40.902,27.12,85,58,3.69,KE,1682380578
192,chegdomyn,51.1167,133.0167,2.48,61,79,2.53,RU,1682380578
193,mata-utu,-13.2816,-176.1745,28.25,74,99,3.24,WF,1682380579
194,grand falls-windsor,48.9332,-55.6649,1.39,93,100,2.24,CA,1682380579
195,invercargill,-46.4,168.35,11.68,82,99,0.89,NZ,1682380580
196,whitehorse,60.7161,-135.0538,5.43,65,75,8.23,CA,1682380580
197,mount isa,-20.7333,139.5,25.87,44,21,5.14,AU,1682380581
198,guerrero negro,27.9769,-114.0611,18.21,66,8,8.31,MX,1682380581
199,as sulayyil,20.4607,45.5779,26.14,40,90,4.84,SA,1682380582
200,maitum,6.0392,124.4986,27.36,79,91,0.6,PH,1682380582
201,tolanaro,-25.0319,46.9987,22.04,94,75,3.09,MG,1682380583
202,san antonio de pale,-1.4014,5.6325,28.17,70,36,1.16,GQ,1682380583
203,borogontsy,62.6683,131.1683,-1.88,90,100,1.25,RU,1682380584
204,marsabit,2.3284,37.9899,19.28,82,77,4.27,KE,1682380584
205,olyokminsk,60.3736,120.4264,-0.74,71,71,2.72,RU,1682380584
206,visakhapatnam,17.69,83.2093,25.94,100,40,1.03,IN,1682380585
207,ilebo,-4.3167,20.5833,20.89,99,99,0.46,CD,1682380586
208,cheremukhovo,60.3484,59.9851,3.64,88,57,2.48,RU,1682380586
209,la passe,45.5549,-0.8967,11.13,91,100,1.28,FR,1682380586
210,roshal',55.6685,39.8749,8.06,89,59,1.91,RU,1682380587
211,cova figueira,14.8905,-24.2934,20.71,77,0,6.18,CV,1682380587
212,broken hill,-31.95,141.4333,21.94,41,2,5.32,AU,1682380588
213,tigre,-34.426,-58.5796,19.03,90,100,4.63,AR,1682380588
214,nefta,33.8731,7.8777,25.14,24,77,2.78,TN,1682380589
215,vorgashor,67.5833,63.95,-15.41,99,97,2.82,RU,1682380589
216,uturoa,-16.7333,-151.4333,27.13,80,40,4.84,PF,1682380589
217,st. john's,47.5649,-52.7093,2.38,96,100,8.94,CA,1682380511
218,rio grande,-32.035,-52.0986,21.06,83,1,8.05,BR,1682380590
219,kievka,50.2619,71.5514,6.71,59,8,3.06,KZ,1682380591
220,tazovsky,67.4667,78.7,-9.54,96,99,4.08,RU,1682380437
221,namtsy,62.7161,129.6658,-2.08,86,100,1.68,RU,1682380592
222,balod,20.73,81.2047,25.58,49,8,0.69,IN,1682380369
223,east london,-33.0153,27.9116,20.12,89,100,4.9,ZA,1682380593
224,alakurtti,66.9672,30.3491,-11.84,96,50,0.94,RU,1682380594
225,alice springs,-23.7,133.8833,19.75,56,0,0.0,AU,1682380594
226,punta arenas,-53.15,-70.9167,6.06,81,75,7.2,CL,1682380594
227,rio branco do sul,-25.19,-49.3142,17.18,98,43,1.49,BR,1682380462
228,nar'yan-mar,67.6713,53.087,-12.81,98,84,2.12,RU,1682380595
229,parfino,57.9731,31.6481,10.96,64,39,2.3,RU,1682380596
230,sawakin,19.1059,37.3321,27.47,65,38,1.45,SD,1682380596
231,douglas,41.3,-96.167,17.9,40,0,4.63,US,1682380597
232,pandan,14.0453,124.1694,27.89,67,36,4.01,PH,1682380597
233,kruisfontein,-34.0033,24.7314,16.24,88,90,2.67,ZA,1682380598
234,katsuren-haebaru,26.3369,127.8719,24.01,73,100,3.6,JP,1682380598
235,vadso,70.0744,29.7487,-3.51,80,9,5.66,NO,1682380599
236,manicore,-5.8092,-61.3003,23.56,95,95,1.07,BR,1682380599
237,margate,51.3813,1.3862,6.5,75,100,3.58,GB,1682380600
238,syumsi,57.1111,51.6149,9.15,66,8,2.4,RU,1682380600
239,nuku'alofa,-21.1333,-175.2,28.19,65,75,2.06,TO,1682380601
240,tha khanon,9.0302,98.9529,27.93,83,100,0.2,TH,1682380601
241,xinmin,41.9908,122.8253,12.63,50,100,7.73,CN,1682380602
242,nabire,-3.3667,135.4833,28.62,73,30,0.15,ID,1682380602
243,vikhorevka,56.1201,101.1636,2.77,71,97,0.68,RU,1682380603
244,moab,38.5733,-109.5498,22.01,23,97,0.45,US,1682380603
245,linxia chengguanzhen,35.6003,103.2064,5.92,64,2,0.81,CN,1682380604
246,zhangye,38.9342,100.4517,9.04,36,0,3.07,CN,1682380604
247,hengchun,22.0042,120.7439,25.07,75,16,5.24,TW,1682380472
248,puerto baquerizo moreno,-0.9,-89.6,25.55,79,42,2.86,EC,1682380605
249,tateyama,34.9833,139.8667,15.73,49,35,5.51,JP,1682380354
250,dudinka,69.4058,86.1778,0.49,79,100,7.44,RU,1682380606
251,saint-philippe,-21.3585,55.7679,24.77,78,32,2.71,RE,1682380606
252,bac lieu,9.285,105.7244,29.2,70,57,5.51,VN,1682380607
253,saipan,15.1355,145.701,29.39,100,40,7.72,MP,1682380607
254,okondja,-0.6549,13.6753,22.76,96,74,0.64,GA,1682380608
255,aldinga beach,-35.2793,138.4604,25.7,52,63,3.25,AU,1682380608
256,suva,-18.1416,178.4415,28.71,74,40,1.03,FJ,1682380609
257,tindouf,27.6711,-8.1474,27.51,13,0,1.96,DZ,1682380609
258,traverse city,44.7631,-85.6206,6.11,43,35,1.34,US,1682380384
